minute,c_uf,c_aver,v_buf,m_fp,price,q_uf_actual,q_fp_actual,total_energy_cost,fp_busy
150,0.7107980710997244,0.7107980710997244,0.0,0.0,0.46,0.0,0.0,0.0,False
151,0.7111124114032977,0.7111124114032977,0.0,0.0,0.46,0.0,0.0,0.0,False
152,0.7114260359992738,0.7114260359992738,0.0,0.0,0.46,0.0,0.0,0.0,False
153,0.7117389491850988,0.7117389491850988,0.0,0.0,0.46,0.0,0.0,0.0,False
154,0.7120511554666525,0.7120511554666525,0.0,0.0,0.46,0.0,0.0,0.0,False
155,0.7123626594389368,0.7123626594389368,0.0,0.0,0.46,0.0,0.0,0.0,False
156,0.712673465697307,0.712673465697307,0.0,0.0,0.46,0.0,0.0,0.0,False
157,0.7129835787728547,0.7129835787728547,0.0,0.0,0.46,0.0,0.0,0.0,False
158,0.7132930030867686,0.7132930030867686,0.0,0.0,0.46,0.0,0.0,0.0,False
159,0.7136017429195046,0.7136017429195046,0.0,0.0,0.46,0.0,0.0,0.0,False
160,0.7139098024277976,0.7139098024277976,0.0,0.0,0.46,0.0,0.0,0.0,False
161,0.7141814260252083,0.7141814260252083,0.0,0.023989280422055274,0.46,0.9131228923797607,0.9131228923797607,2.932485273310821e-06,False
162,0.7144541734425731,0.7144541734425731,0.0,0.04799879104834118,0.46,0.9131228923797607,0.9131228923797607,5.864970546621642e-06,False
163,0.7147278890290371,0.7147278890290371,0.0,0.07202862245929624,0.46,0.9131228923797607,0.9131228923797607,8.797455819932462e-06,False
164,0.7150024346098517,0.7150024346098517,0.0,0.09607885518869749,0.46,0.9131228923797607,0.9131228923797607,1.1729941093243284e-05,False
165,0.7152776869336654,0.7152776869336654,0.0,0.12014956079713122,0.46,0.9131228923797607,0.9131228923797607,1.4662426366554106e-05,False
166,0.7155887499085174,0.7155887499085174,0.0,0.12014956079713122,0.46,0.0,0.0,1.4662426366554106e-05,False
167,0.7158985571569589,0.7158985571569589,0.0,0.12014956079713122,0.46,0.0,0.0,1.4662426366554106e-05,False
168,0.7162071735687939,0.7162071735687939,0.0,0.12014956079713122,0.46,0.0,0.0,1.4662426366554106e-05,False
169,0.7165146554490742,0.7165146554490742,0.0,0.12014956079713122,0.46,0.0,0.0,1.4662426366554106e-05,False
170,0.7168210519395204,0.7168210519395204,0.0,0.12014956079713122,0.46,0.0,0.0,1.4662426366554106e-05,False
171,0.7170261173834291,0.7170261173834291,0.0,0.18967415803864546,0.46,2.623196601867676,2.623196601867676,8.418737399901481e-05,False
172,0.7172353991549952,0.7172353991549952,0.0,0.2592437760816064,0.46,2.623196601867676,2.623196601867676,0.00015371232163147552,False
173,0.7174484551098745,0.7174484551098745,0.0,0.32885925972986735,0.46,2.623196601867676,2.623196601867676,0.00022323726926393623,False
174,0.7176648927652374,0.7176648927652374,0.0,0.39852137100376067,0.46,2.623196601867676,2.623196601867676,0.0002927622168963969,False
